Experiment,piControl,historical,historical,historical,historical,historical,historical,historical,historical,historical,historical,ssp126,ssp126,ssp126,ssp245,ssp245,ssp245,ssp370,ssp370,ssp370,ssp585,ssp585,ssp585
Member,r1i1p1f1,r10i1p1f1,r1i1p1f1,r2i1p1f1,r3i1p1f1,r4i1p1f1,r5i1p1f1,r6i1p1f1,r7i1p1f1,r8i1p1f1,r9i1p1f1,r1i1p1f1,r2i1p1f1,r3i1p1f1,r1i1p1f1,r2i1p1f1,r3i1p1f1,r1i1p1f1,r2i1p1f1,r3i1p1f1,r1i1p1f1,r2i1p1f1,r3i1p1f1
11,301.3011210620853,301.5577264953923,301.0049763590372,301.5391518683411,301.35164490912246,301.5736922270355,301.0320803724981,301.128432881366,300.9777637276202,301.32500471899584,300.97605544210995,300.71275071409855,302.03443524825553,301.24416409125513,300.86640983772804,301.6313040560906,301.53689694527907,300.91813175067574,301.63670879151573,301.57624439795615,300.936451194004,301.7253043318986,302.09281944882014
12,301.26286157233744,301.40483267466385,300.8909347513855,301.5426701584202,301.2608124873971,301.3443996043405,300.86796197567304,301.15503980237617,300.9604986375089,301.2500348184938,301.01706972856977,300.7235335376594,301.8901797920634,301.12265347718306,300.9370362047607,301.7167668789463,301.64806313563,301.00194040964806,301.5361861577403,301.53050786638147,300.89397916197305,301.79789161935406,301.89823706074054
13,301.2173184754075,301.22715705787715,300.79077880711947,301.5243642638546,301.16669386702847,301.2108784176432,300.86974014664156,301.0185352561635,300.88316078595693,301.1398706016686,301.04523869896906,300.7199866310877,301.73227062933853,301.08380988399523,301.0087749150545,301.775551394984,301.7595427606195,301.1114299318806,301.5317071601383,301.5003731144848,300.8448704787584,301.74170455221287,301.5692863467044
14,301.18559608438756,301.2768191883611,300.77890197142136,301.5462191970489,301.1994069770789,301.2465272818246,301.0144022076222,301.0510863381646,300.9547378735614,301.1599314637577,301.18561997492407,300.8324644124475,301.71641162953034,301.2908093507422,301.18034248092476,301.9535017225092,301.8637711059849,301.2698299575356,301.6098348158625,301.6007746496954,301.009914975291,301.8090703425748,301.3661513749535
15,301.34011138245575,301.34818701420676,300.8946035527459,301.55483994420666,301.3380349492638,301.38955604553786,301.21882730314263,301.10883474254,301.19346076857323,301.3026230359182,301.30830306975184,301.11101813235524,301.834783690341,301.6026242003247,301.45276402966516,302.1120607582165,302.0021643186737,301.4714841518726,301.7896315638878,301.9154908418572,301.2102170667308,301.9017444322146,301.37806571028773
16,301.3907258131573,301.44524529820836,301.0010872543584,301.52410307084057,301.41856080390085,301.41263358342843,301.3319389390829,301.18813695145786,301.36363526013537,301.4391379368746,301.4060864967057,301.3444230448639,301.95498263454874,301.7923896203892,301.72871398985313,302.20916072149055,302.09170453556266,301.63235594261056,301.8980367148843,302.12319309168646,301.320633109215,301.9999182343294,301.52286626555724
17,301.44528556497954,301.33401538425557,301.03143421490256,301.3907843391646,301.30805518406527,301.2256706834856,301.2882664678806,301.14429020045856,301.3854639475432,301.41218007675593,301.39320637184807,301.43740882420167,301.99871836842516,301.8666584349408,301.80343442120096,302.1496068889922,302.0519436089348,301.68457367447706,301.9430397712982,302.1329406553144,301.2432749966356,301.91880608793355,301.65109690216633
18,301.37495895189136,301.26799319563565,300.8898347620689,301.29457494389607,301.0563725651462,300.80997041203085,301.1903818838893,301.03769569952937,301.2119599400662,301.2645447055511,301.22843619121613,301.26792434993564,302.00144242981395,301.89966174553905,301.6415913936333,302.0274791753123,301.91708681582764,301.60057396482705,301.87823885817915,301.9544240295431,301.0785885340434,301.817020636359,301.7573834304819
19,301.35730252074535,301.2578026162203,300.7670879364002,301.33315564468745,300.8616056095319,300.4300461852731,300.9717648769131,300.97604304480814,301.03755865632337,301.0989007768664,301.0306533362528,301.1002814028181,302.16674786648747,301.90355882750856,301.40730602083715,301.8856158640529,301.80058775423316,301.5436604240872,301.7475007154848,301.9288728642666,300.93159372041237,301.84090791502155,301.8667510146831
20,301.51144926267256,301.4648774778008,300.78695073290675,301.439761699921,300.86478806931876,300.2276632952949,300.8371213831365,300.8310694970983,300.99401763090583,301.06491520693027,300.90682832526016,301.00898693119717,302.40806012387833,301.9677549232467,301.3135451435514,301.83182006162866,301.89292400072236,301.5113340266148,301.66061207825095,302.1297064435203,300.9085068120739,302.0056417033857,302.146651045705
