Experiment,piControl
Member,r1i1p1f1
200,298.92464769968893
201,299.3834070508711
202,300.96456661625535
203,299.3906322267995
204,299.90484819471936
205,299.911873442325
206,300.92428819392984
207,299.07192954579574
208,300.51329218981425
209,300.25767828611754
210,299.3279096391456
211,300.4152117122165
212,299.69394377267355
213,300.17022784686094
214,300.00623193634175
215,299.65689929224374
216,299.16744080227727
217,299.3465313419991
218,299.73844531179543
219,299.41563771407124
220,301.2745481380938
221,301.01223294219716
222,299.4195492684791
223,300.98878074369776
224,301.25710543355154
225,297.9934338122611
226,299.9267538072503
227,300.4028267639259
228,301.11732705906917
229,297.3576963623539
230,298.1170923739023
231,300.79642081152537
232,301.09970084018556
233,299.92835530305643
234,300.99777126613077
235,299.7105084614464
236,299.8924742261767
237,301.76091182006843
238,299.25774530291704
239,299.23054993310376
240,300.05611601402285
241,298.53474126856355
242,298.8701113356071
243,299.65985041970885
244,300.48501405775255
245,299.42446410174006
246,301.64215452949225
247,298.7408969995972
248,299.9547490134894
249,300.9520544906316
250,300.0537077153044
251,300.00651212203024
252,300.42587458256526
253,300.3530256994952
254,299.6597921273628
255,301.0720256328591
256,300.3359234511716
257,299.5095950009004
258,300.06395207185443
259,300.32815554420273
260,298.4134553727442
261,300.0603654873748
262,300.77079669750617
263,300.03276760391935
264,301.82334856214135
265,298.0953638271327
266,300.0432590184235
267,300.11671225968456
268,298.43631496528786
269,299.0657378385585
270,301.11419485971913
271,301.560533782178
272,300.0009906157081
273,298.2803500550766
274,299.7683173399332
275,299.65131692063454
276,301.2867224678851
277,299.23257120071634
278,299.8935661639113
279,300.965581240057
280,298.7440653852232
281,301.0489781207605
282,301.29545565214113
283,299.49603969697586
284,300.1170446849281
285,300.74567582963704
286,300.1586954264417
287,300.1886415415385
288,299.22175497937985
289,301.2309829427432
290,301.23837370025126
291,300.47740463332985
292,299.42256032328856
293,300.8532062566091
294,299.3399557735796
295,302.245000182884
296,299.2686540368571
297,299.05175728350036
298,299.37165461831154
299,301.2584976060768
300,299.3515616994621
301,301.9834115143901
302,298.9897247773398
303,299.4504762816455
304,301.78862817242475
305,299.2973803217728
306,299.3017967063275
307,300.4529742644259
308,301.29179892073313
309,300.74180477554006
310,300.9893942582803
311,299.9922677867451
312,300.8371027777912
313,300.28851149136995
314,301.2957263799479
315,299.70324776735276
316,299.0647915748397
317,300.20539007626354
318,301.13988006547123
319,301.25434716809133
320,299.10140418355866
321,301.77577049164705
322,299.78803921106777
323,300.0222976887607
324,300.3038039825016
325,300.70979268063047
326,300.79783579907104
327,299.1574679421933
328,298.2633348338583
329,299.7192817640723
330,300.3277477325061
331,301.4095711216656
332,299.39895167066584
333,300.74108522345426
334,299.78131589792264
335,299.64050513475763
336,300.33510407465195
337,299.74199828801994
338,300.7282010924346
339,300.9375742624749
340,299.5936991914445
341,298.50467169392795
342,301.2877985784697
343,300.7188159785141
344,298.1253000202202
345,300.39819536755545
346,301.93389443675756
347,299.5989316608796
348,297.7124089507956
349,299.96786537543704
350,302.10231492001776
351,300.0253994068659
352,298.8757525588635
353,299.17881597808224
354,298.4984671621332
355,299.158843681063
356,301.93336511575046
357,299.26889542947146
358,299.88257387652806
359,300.04559155623025
360,300.22182444967206
361,300.7102130227241
362,301.1450628085349
363,300.4579367015536
364,302.0591554910718
365,298.7478125152484
366,298.1960571610195
367,300.81202046521526
368,301.39662216578404
369,300.5140725388031
370,298.76013384234335
371,299.3726253553304
372,300.6085729998651
373,299.2782255460879
374,298.89608975199457
375,300.34839159020845
376,301.53133967294724
377,300.0471357249276
378,299.90367417677845
379,300.3808736564642
380,300.4781617110951
381,298.96663229160697
382,299.8752351724919
383,299.3954369431945
384,300.41034059323897
385,298.45174252642596
386,300.45765215453076
387,300.4344058285547
388,302.1071867680091
389,299.48440297037934
390,299.79763957082554
391,301.53741010165936
